Time,Heart Rate
568.054,1.52383
568.517,1.46175
568.991,1.38409
569.477,1.28786
569.976,1.16785
570.463,1.03438
570.934,0.908833
571.373,0.817579
571.785,0.76563
572.216,0.745526
572.692,0.755442
573.144,0.78793
573.607,0.840128
574.081,0.913411
574.572,1.01358
575.078,1.14631
575.563,1.29404
576.045,1.43597
576.471,1.53189
576.872,1.58415
577.291,1.60029
577.75,1.58257
578.201,1.54033
578.662,1.48011
579.134,1.40431
579.618,1.31055
580.117,1.19274
580.608,1.05678
581.079,0.925394
581.526,0.823919
581.936,0.764479
582.358,0.738138
582.83,0.742467
583.283,0.771198
583.742,0.819513
584.214,0.888523
584.701,0.983491
585.208,1.1122
585.699,1.26264
586.177,1.41146
586.618,1.52248
587.015,1.58446
587.425,1.60903
587.877,1.59852
588.329,1.56047
588.785,1.50359
589.254,1.43083
589.735,1.34113
590.231,1.22832
590.73,1.09163
591.201,0.95456
591.659,0.839356
592.071,0.768725
592.483,0.733446
592.941,0.729314
593.401,0.752391
593.853,0.795041
594.322,0.858024
594.805,0.945279
595.307,1.06541
595.81,1.21657
596.283,1.37043
596.692,1.48844
597.084,1.56908
597.47,1.61061
597.893,1.61745
598.348,1.59142
598.795,1.54341
599.256,1.47808
599.73,1.39717
599.988,1.34678
600.245,1.29111
600.488,1.23471
600.889,1.13955
601.286,1.0534
601.701,0.986571
602.113,0.951229
602.563,0.94347
602.983,0.956778
603.412,0.984161
603.861,1.02436
604.34,1.08064
604.773,1.15196
605.329,1.28857
605.799,1.44498
606.275,1.61847
606.714,1.75925
607.11,1.84911
607.514,1.89925
607.956,1.91284
608.391,1.8959
608.829,1.85879
609.281,1.80613
609.751,1.73813
610.236,1.64958
610.746,1.52949
611.242,1.38821
611.723,1.24965
612.169,1.14383
612.593,1.07675
613.035,1.04244
613.494,1.03862
613.933,1.05786
614.38,1.09577
614.839,1.15233
615.311,1.23124
615.802,1.33819
616.301,1.47011
616.791,1.60604
617.249,1.7153
617.676,1.78657
618.116,1.82465
618.58,1.83091
619.034,1.81135
619.491,1.77292
619.957,1.71835
620.436,1.64666
620.929,1.55413
621.432,1.44126
621.927,1.32315
622.406,1.22113
622.859,1.15059
623.314,1.11023
623.787,1.09859
624.246,1.11142
624.703,1.14338
625.165,1.19307
625.636,1.26167
626.12,1.35103
626.613,1.45807
627.105,1.56911
627.578,1.66278
628.029,1.72731
628.49,1.76291
628.968,1.76991
629.438,1.75269
629.907,1.71702
630.381,1.66545
630.864,1.59794
631.358,1.51368
631.859,1.41651
632.358,1.31876
632.845,1.2371
633.317,1.1814
633.797,1.15237
634.281,1.14925
634.752,1.1676
635.22,1.20371
635.692,1.25635
636.171,1.32558
636.659,1.41001
637.153,1.50286
637.644,1.59075
638.12,1.65926
638.596,1.70307
639.086,1.72096
639.575,1.71421
640.056,1.68792
640.538,1.64561
641.024,1.58879
641.517,1.51811
642.018,1.43661
642.522,1.35255
643.024,1.27839
643.517,1.2246
644.014,1.19462
644.513,1.18878
644.999,1.20384
645.479,1.23608
645.959,1.28359
646.444,1.34522
646.935,1.41858
647.431,1.4976
647.93,1.57187
648.423,1.63034
648.92,1.66736
649.428,1.68085
649.93,1.67209
650.424,1.64543
650.916,1.60397
651.41,1.54956
651.91,1.48414
652.416,1.41207
652.928,1.3413
653.44,1.28196
653.953,1.24163
654.469,1.22329
654.978,1.2265
655.473,1.24774
655.964,1.28409
656.454,1.33356
656.948,1.39398
657.448,1.46119
657.954,1.52806
658.463,1.58536
658.976,1.6257
659.499,1.64532
660.02,1.64361
660.529,1.62386
661.032,1.58948
661.534,1.54295
662.039,1.48659
662.551,1.42421
663.07,1.36209
663.595,1.30842
664.126,1.27055
664.659,1.25251
665.183,1.25452
665.693,1.27359
666.195,1.30677
666.695,1.35167
667.197,1.40568
667.706,1.46463
668.223,1.52223
668.746,1.57085
669.279,1.60404
669.82,1.61807
670.353,1.61284
670.873,1.59151
671.387,1.55721
671.899,1.51253
672.415,1.46038
672.937,1.40506
673.47,1.35264
674.012,1.31021
674.562,1.28367
675.109,1.27587
675.641,1.28558
676.159,1.30976
676.671,1.34571
677.182,1.39077
677.698,1.44158
678.222,1.49325
678.757,1.53953
679.303,1.57404
679.86,1.59204
680.412,1.59195
680.949,1.57602
681.477,1.54738
682,1.50883
682.525,1.4633
683.056,1.41461
683.599,1.36795
684.155,1.3294
684.722,1.30473
685.286,1.29717
685.833,1.3059
686.365,1.32809
686.889,1.36097
687.413,1.40175
687.94,1.44702
688.477,1.49223
689.028,1.53181
689.594,1.56011
690.169,1.57283
690.733,1.56912
691.281,1.55143
691.82,1.52272
692.355,1.48585
692.892,1.44396
693.439,1.40103
693.999,1.36203
694.577,1.33248
695.162,1.31721
695.735,1.31777
696.289,1.3322
696.83,1.35772
697.366,1.39155
697.903,1.43064
698.449,1.47119
699.008,1.50854
699.585,1.5375
700.176,1.55334
700.761,1.55392
701.328,1.54083
701.882,1.51691
702.43,1.48504
702.979,1.44823
703.536,1.41007
704.108,1.37492
704.699,1.34775
705.302,1.33326
705.892,1.33336
706.462,1.34635
707.018,1.36956
707.567,1.40021
708.118,1.43527
708.678,1.47113
709.253,1.50351
709.85,1.52769
710.459,1.53937
711.056,1.53708
711.635,1.52272
712.201,1.49904
712.762,1.4689
713.326,1.43535
713.901,1.40195
714.494,1.37289
715.108,1.35277
715.725,1.34541
716.322,1.35109
716.9,1.36756
717.467,1.39215
718.03,1.42203
718.599,1.45406
719.182,1.48455
719.785,1.50933
720.41,1.52407
721.03,1.52603
721.63,1.51613
722.215,1.49687
722.791,1.47103
723.367,1.4415
723.952,1.41151
724.556,1.38478
725.184,1.36551
725.82,1.35756
726.436,1.36175
727.032,1.37609
727.614,1.39799
728.193,1.42472
728.776,1.45326
729.374,1.4802
729.996,1.50169
730.639,1.51371
731.274,1.51395
731.888,1.50353
732.486,1.48493
733.076,1.46084
733.669,1.4341
734.273,1.40785
734.899,1.38563
735.55,1.3714
736.199,1.3682
736.824,1.37568
737.43,1.39163
738.025,1.41346
738.62,1.43844
739.225,1.46358
739.851,1.48551
740.503,1.50051
741.164,1.50529
741.803,1.49954
742.423,1.48531
743.031,1.46514
743.637,1.4417
744.252,1.41786
744.887,1.39679
745.55,1.38208
746.221,1.37704
746.868,1.38214
747.494,1.39543
748.107,1.41446
748.718,1.43663
749.338,1.45914
749.978,1.47888
750.647,1.49241
751.326,1.49662
751.983,1.49116
752.619,1.47797
753.243,1.45953
753.865,1.4384
754.498,1.4173
755.154,1.39927
755.839,1.38767
756.524,1.38529
757.184,1.39193
757.823,1.40554
758.451,1.42372
759.08,1.44392
759.723,1.46343
760.391,1.47925
761.087,1.48811
761.777,1.48788
762.441,1.47946
763.087,1.46499
763.725,1.44692
764.368,1.42775
765.029,1.41019
765.72,1.39722
766.429,1.39193
767.117,1.39531
767.78,1.40581
768.428,1.42117
